name,國,volume,所見名,註,occurrence,nameFreq
公孫剽,衛,襄公元年經，襄公十四年傳，襄公二十六年經，襄公二十六年傳,公孫剽，剽，子叔,子叔黑背子；衛穆公孫,4,3
公孫宿,魯,哀公十四年傳，哀公十五年傳,公孫宿，公孫成，成,成宰,4,3
公孫明,齊,昭公四年傳,公孫明，子明，北婦人之客,齊大夫子明,3,3
公孫無知,齊,莊公八年經，莊公八年傳，莊公九年經，昭公四年傳,無知，公孫無知，仲孫,夷仲年子,4,3
公文要,衛,哀公二十五年傳，哀公二十六年傳,公文懿子，公文要，懿子,,4,3
公爲,魯,昭公二十五年傳，昭公二十九年傳，定公元年傳，哀公十一年傳,公爲，務人，公叔務人,魯昭公子務人；魯昭公子,6,3
共姬,宋,襄公二十六年傳，襄公三十年經，襄公三十年傳,共姬，宋伯姬，宋共姬,宋伯姬,4,3
冉求,魯,哀公十一年傳，哀公十四年傳,冉求，有子，冉有,孔子弟子，季氏宰,4,3
勾踐,越,定公十四年傳，哀公元年傳,越子勾踐，越子，句踐,越王允常子,3,3
北宮佗,衛,襄公三十年傳，襄公三十一年傳，昭公十一年經,北宮佗，北宮文子，文子,北宮括之子,4,3
北宮喜,衛,昭公十年傳，昭公二十年傳，昭公二十五年經，昭公二十七年經，昭公二十七年傳,北宮喜，北宮子，北宮貞子,北宮貞子,6,3
卓子,晉,莊公二十八年傳，僖公四年傳，僖公九年傳，僖公十年經,卓子，公子卓，卓,,5,3
南子,宋,定公十四年傳，哀公二年傳,南子，少君，夫人,衛靈公夫人,3,3
南宮敬叔,魯,昭公七年傳，昭公十一年傳，哀公三年傳,說，南宮敬叔，敬叔,孟僖子之子；孔子弟子南宮閱,5,3
南宮長萬,宋,莊公十一年傳，莊公十二年經，莊公十二年傳,南宮長萬，宋萬，南宮萬,宋大夫,3,3
印段,鄭,襄公二十七年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公元年傳，昭公二年傳，昭公三十年傳,二子石，印段，子石,,9,3
厚成叔,魯,襄公十四年傳,厚成叔，瘠，厚孫,厚瘠,3,3
去疾,莒,襄公三十一年傳，昭公元年經，昭公四年傳,去疾，莒去疾，著丘公,莒犁比公子,3,3
叔向之母,晉,襄公二十一年傳，昭公二十八年傳,叔向之母，其母，姑,,3,3
叔孫得臣,魯,文公元年經，文公三年經，文公三年傳，文公九年經，文公九年傳，文公十一年經，文公十一年傳，文公十八年經，文公十八年傳，宣公五年經，襄公三十年傳，昭公五年傳,叔孫得臣，莊叔，叔孫莊叔,叔牙孫,12,3
叔老,魯,襄公十四年經，襄公十四年傳，襄公十六年經，襄公十六年傳，襄公二十年經，襄公二十年傳，襄公二十二年經,叔老，子叔齊子，齊子,公孫嬰齊聲伯子；叔老字齊子,7,3
叔魚,晉,昭公十三年傳，昭公十四年傳,羊舌鮒，鮒，叔魚,叔向弟；前文作叔鮒，羊舌鮒也,5,3
句踐,越,哀公十一年傳，哀公十三年傳，哀公二十年傳，哀公二十六年傳，哀公二十七年傳,越子，句踐，王,,5,3
召簡公,周,昭公二十四年傳，昭公二十六年傳，昭公二十九年傳,召簡公，召伯盈，召伯,召莊公之子召伯盈,4,3
后羿,古人,襄公四年傳，昭公二十八年傳,后羿，夷羿，羿,,4,3
吳子,吳,襄公三年傳，襄公五年傳，襄公三十一年傳，昭公五年傳，昭公十三年傳，哀公七年傳，哀公八年傳，哀公九年傳，哀公十年傳，哀公十一年傳，哀公十二年傳，哀公十五年傳，哀公十七年傳,吳子，寡君，寡人,,16,3
周匡王,周,文公十四年傳，宣公二年經，宣公三年經,王，天王，匡王,,3,3
周平王,周,隱公三年經，隱公三年傳，僖公二十二年傳，僖公二十四年傳，宣公十二年傳，襄公十年傳，襄公二十五年傳,天王，平王，平,,7,3
周文王,周,僖公五年傳，僖公九年傳，僖公二十四年傳，文公二年傳，宣公十五年傳，成公二年傳，襄公四年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公四年傳，昭公七年傳，昭公九年傳，昭公十五年傳，昭公二十六年傳，昭公二十八年傳，昭公三十二年傳，定公四年傳，哀公二年傳,文王，文，周文王,,19,3
周頃王,周,文公十年傳，宣公九年傳，宣公十年經,頃王，王，天王,,3,3
唐叔虞,周,昭公元年傳,唐叔虞，大叔，虞,,3,3
單成公,周,昭公七年傳，昭公十一年傳,成公，單子，單成公,單獻公弟,3,3
單穆公,周,昭公二十二年經，昭公二十二年傳，昭公二十三年傳，昭公二十六年傳,單子，單穆公，單旗,單旗,5,3
單襄公,周,成公元年傳，成公二年傳，成公十一年傳，成公十六年傳，成公十七年經，成公十七年傳，昭公七年傳,單襄公，單子，襄,王卿士；頃公之父,9,3
單頃公,周,襄公三年經，襄公三年傳，昭公七年傳,單子，單頃公，頃,,3,3
國參,鄭,昭公三十二年經，哀公五年傳，哀公七年傳，哀公二十七年傳,國參，子思，桓子思,子產之子；子產子；桓，諡,4,3
國夏,齊,定公四年經，定公七年經，定公八年經，哀公三年經，哀公四年傳，哀公五年傳，哀公六年經，哀公六年傳,國夏，國惠子，惠子,國佐孫,8,3
士弱,晉,襄公九年傳，襄公十年傳，襄公十八年傳，襄公二十五年傳，襄公二十六年傳,士弱，士莊子，士莊伯,士渥濁之子莊子,6,3
士彌牟,晉,昭公二十八年傳，昭公三十二年傳，定公元年傳,司馬彌牟，士彌牟，士伯,,4,3
士文伯,晉,襄公三十年傳，襄公三十一年傳，昭公二年傳，昭公六年傳，昭公七年傳，昭公十二年傳,士文伯，伯瑕，文伯,士弱之子,9,3
壽夢,吳,成公七年傳，襄公十年傳，襄公十二年經，襄公十九年傳,吳子壽夢，吳子乘，吳壽夢,季札父,4,3
夏徵舒,陳,宣公十年經，宣公十年傳，宣公十一年經，成公二年傳,夏徵舒，徵舒，夏南,,4,3
大叔僖子,衛,哀公十六年傳,大叔僖子，大叔遺，遺,大叔遺,3,3
大子疾,衛,哀公十六年傳，哀公十七年傳，哀公二十五年傳,疾，大子，大子疾,,5,3
大子痤,宋,襄公二十六年經，襄公二十六年傳,世子痤，大子痤，大子,,3,3
夷仲年,齊,隱公七年經，隱公七年傳，桓公三年經，桓公三年傳，莊公八年傳,年，夷仲年，齊仲年,齊侯弟；齊僖公母弟,5,3
夷末,吳,襄公二十八年傳，襄公三十一年傳，昭公十五年經,吳句餘，嗣君，吳子夷末,,3,3
子上,鄭,襄公三十年傳，昭公元年傳，昭公七年傳，昭公十八年傳,駟帶，子上，帶,子西之子；鄭大夫,5,3
子儀,楚,僖公二十五年傳，文公十四年傳，襄公二十六年傳,鬥克，子儀，申公子儀,申公子儀,6,3
子南,衛,哀公二年傳,子南，郢，公子郢,衛靈公子郢,3,3
子國,楚,哀公十七年傳，哀公十八年傳,子國，寧，公孫寧,寧；右司馬,4,3
子孔,鄭,襄公八年傳，襄公九年傳，襄公十年傳，襄公十八年傳，襄公十九年傳，昭公十六年傳,子孔，公子嘉，司徒孔,鄭穆公子；鄭襄公兄，孔張祖父,8,3
子家,鄭,文公二年傳，文公十三年傳，文公十七年傳，宣公二年經，宣公四年經，宣公四年傳，宣公十年傳,公子歸生，子家，歸生,鄭大夫公子歸生,8,3
子家,魯,宣公十年經，宣公十一年經，宣公十四年經，宣公十四年傳，宣公十五年經，宣公十八年經，宣公十八年傳,公孫歸父，子家，歸父,,8,3
子尾,齊,襄公二十八年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公二年傳，昭公三年傳，昭公五年傳，昭公八年傳，昭公十年傳,子尾，高，公孫蠆,齊惠公孫；高彊爲子尾子,10,3
子展,鄭,襄公八年傳，襄公九年傳，襄公十年傳，襄公十一年經，襄公十一年傳，襄公十八年傳，襄公十九年傳，襄公二十二年傳，襄公二十五年經，襄公二十五年傳，襄公二十六年傳，襄公二十七年傳，襄公二十八年傳，襄公二十九年傳,子展，舍之，公孫舍之,子罕子,16,3
子庚,楚,襄公十二年傳，襄公十三年傳，襄公十四年傳，襄公十八年經，襄公十八年傳，襄公二十一年傳,子庚，公子午，午,司馬，楚莊王子午；令尹公子午,7,3
子文,楚,莊公三十年傳，僖公五年傳，僖公七年傳，僖公二十年傳，僖公二十三年傳，僖公二十七年傳，宣公四年傳,鬭穀於菟，子文，鬥伯比,令尹；鬥伯比之子,9,3
子羽,鄭,成公十三年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公元年傳，昭公十年傳，昭公十六年傳,子羽，公孫揮，行人揮,鄭穆公子；行人,9,3
子良,楚,宣公四年傳，哀公十七年傳,司馬子良，子良，王子,楚惠王弟,3,3
子良,齊,昭公八年傳，昭公十年傳,子良，孺子，高彊,子尾之子高彊,4,3
子西,鄭,襄公十年傳，襄公十五年傳，襄公十八年傳，襄公十九年傳，襄公二十四年傳，襄公二十五年經，襄公二十六年傳，襄公二十七年傳，襄公二十九年傳,子西，公孫夏，夏,公孫夏，子駟子,11,3
子貢,魯,定公十五年傳，哀公七年傳，哀公十一年傳，哀公十二年傳,子貢，賜，衛賜,,5,3
子邊,楚,僖公二十五年傳,屈禦寇，子邊，息公子邊,息公子邊,3,3
子雅,齊,襄公二十八年傳，襄公二十九年傳，昭公二年傳，昭公三年傳,子雅，欒，公孫竈,齊惠公孫,6,3
子駟,鄭,成公十年傳，成公十三年傳，成公十六年傳，成公十七年傳，襄公二年傳，襄公七年傳，襄公八年傳，襄公九年傳，襄公十年經，襄公十年傳，襄公二十二年傳,子駟，騑，公子騑,鄭穆公子；子駟名,12,3
孔伯姬,衛,哀公十五年傳，哀公十六年傳,大子蒯聵之姊，孔姬，伯姬,,4,3
孔寧,陳,宣公九年傳，宣公十年傳，宣公十一年經，成公二年傳,孔寧，公孫寧，孔,陳卿,4,3
孔悝,衛,哀公十五年傳，哀公十六年傳,悝，孔悝，孔叔,,4,3
孔成子,衛,成公十四年傳，襄公十九年傳，昭公七年傳,孔成子，孔烝鉏，成子,孔達之孫；衛卿，孔達之孫烝鉏,5,3
孟縶,衛,昭公七年傳,孟縶，縶，孟,,3,3
季公若,魯,昭公二十五年傳,季公若，公若，季公亥,季平子庶從父,3,3
季姬,魯,僖公十四年經，僖公十五年經，哀公八年傳,季姬，季康子之妹，女,鄫夫人；季康子之妹，魴侯所通者,5,3
季悼子,魯,襄公二十三年傳，昭公十二年傳,悼子，紇，季悼子,季紇；季武子之子，平子之父,3,3
孫叔敖,楚,宣公十一年傳，宣公十二年傳,令尹艾獵，敖，孫叔敖,,3,3
孫良夫,衛,宣公七年經，宣公七年傳，成公二年經，成公二年傳，成公三年經，成公六年經，襄公七年傳,孫良夫，孫桓子，孫子,孫林父之父,8,3
宋公,宋,桓公十一年經，桓公十五年經，桓公十六年經，僖公二十八年經，文公二年經，宣公七年經，宣公九年經，成公三年經，成公四年經，成公七年經，成公八年經，成公十三年經，成公十七年經，成公十八年經，襄公三年經，襄公五年經，襄公七年經，襄公九年經，襄公十年經，襄公十一年經，襄公十五年經，襄公十六年經，襄公十八年經，襄公二十年經，襄公二十一年經，襄公二十二年經，襄公二十四年經，襄公二十五年經，襄公二十七年傳，定公四年經，定公九年傳，定公十年經，定公十年傳，定公十四年經，哀公八年經，哀公八年傳，哀公九年傳，哀公十一年傳，哀公十四年傳,宋公，公，寡人,,42,3
宋成公,宋,僖公二十四年傳，文公七年經，文公七年傳，定公四年傳,宋成公，宋公王臣，王臣,,4,3
定姒,杞,襄公四年經，定公十五年經,夫人姒氏，定姒，姒氏,魯成公妾、魯襄公母；魯定公妾,4,3
宣姜,衛,桓公十六年傳，閔公二年傳，昭公七年傳，昭公二十年傳,宣姜，姜氏，襄夫人宣姜,衛宣公所取急子之妻；衛襄公夫人；衛靈公嫡母,5,3
小邾穆公,小邾,襄公七年經，襄公七年傳，昭公三年經，昭公三年傳，昭公十七年經，昭公十七年傳,小邾子，小邾穆公，穆公,,7,3
少姜,齊,昭公二年傳，昭公三年傳,少姜，少齊，先君之適,,5,3
展輿,莒,襄公三十一年傳，昭公元年經，昭公元年傳,展輿，莒展輿，莒展,莒犁比公子,3,3
巢牛臣,楚,襄公二十五年傳，襄公三十一年傳,巢牛臣，牛臣，巢,,3,3
師曠,晉,襄公十四年傳，襄公十八年傳，襄公二十六年傳，襄公三十年傳，昭公八年傳，昭公九年傳,師曠，子野，工,晉樂大師子野,7,3
常壽過,越,昭公五年傳，昭公十三年傳,常壽過，越大夫，越大夫常壽過,越大夫,3,3
彌子瑕,衛,定公六年傳，哀公二十五年傳,彌子瑕，彭封彌子，彌子,衛嬖大夫,3,3
徐子章羽,徐,昭公三十年經，昭公三十年傳,徐子章羽，徐子章禹，徐子,,3,3
懷嬴,秦,僖公二十二年傳，僖公二十三年傳，文公六年傳,嬴氏，懷嬴，辰嬴,晉懷公妻,3,3
文姜,齊,桓公六年傳，桓公十八年經，桓公十八年傳，莊公元年經，莊公二年經，莊公四年經，莊公五年經，莊公六年傳，莊公七年經，莊公十五年經，莊公十九年經，莊公二十年經，莊公二十二年經，昭公三十二年傳,文姜，姜氏，夫人,魯桓公夫人；齊桓公姊妹,14,3
晉侯,晉,宣公十一年經，成公十一年經，昭公十七年傳，昭公三十一年經，定公四年經，定公六年傳，定公八年傳，定公十三年傳，哀公十五年經，哀公二十四年傳，哀公二十七年傳,晉侯，寡君，公,,14,3
晉頃公,晉,昭公二十一年經，昭公二十四年傳，昭公二十八年傳，昭公三十年經,晉侯，晉侯去疾，晉頃公,,5,3
曲沃武公,晉,桓公三年傳，桓公七年傳，莊公十六年傳,曲沃武公，曲沃伯，晉武公,曲沃莊伯子,4,3
曹文公,曹,文公十一年經，文公十一年傳，宣公十四年經,曹伯襄，曹文公，曹伯壽,,4,3
曹武公,曹,襄公二十一年經，襄公二十一年傳，昭公十四年經,曹伯，曹武公，曹伯滕,,4,3
杞悼公,杞,定公四年經,杞伯，杞伯成，杞悼公,,3,3
杞桓公,杞,僖公二十七年經，僖公二十七年傳，文公十二年經，文公十二年傳，成公九年經，成公九年傳，成公十八年經，成公十八年傳，襄公六年經,杞子，杞桓公，杞伯,,9,3
杞殖,齊,襄公二十三年傳,杞殖，杞梁，殖,齊大夫,3,3
梁丘據,齊,昭公二十年傳，昭公二十六年傳，定公十年傳,梁丘據，據，子猶,齊嬖大夫,6,3
楚惠王,楚,哀公十六年傳，哀公十七年傳，哀公十八年傳,王，惠王，楚子,,5,3
楚成王,楚,莊公十四年傳，僖公四年傳，僖公六年傳，僖公十八年傳，僖公二十一年經，僖公二十二年傳，僖公二十三年傳，僖公二十七年傳，僖公二十八年傳，文公元年傳，文公十年傳，成公十三年傳，昭公二十七年傳,成王，楚子，成,,14,3
樂大心,宋,昭公七年傳，昭公二十一年傳，昭公二十二年傳，昭公二十五年經，昭公二十五年傳，定公九年傳，定公十年經，定公十一年經,樂大心，桐門右師，右師,宋大夫,11,3
樂祁,宋,昭公二十二年傳，昭公二十五年傳，昭公二十七年傳，定公六年傳，定公八年傳，定公九年傳,樂祁，司城子梁，子梁,子罕孫樂祁犁,8,3
樂茷,宋,哀公二十六年傳,樂茷，司城，子潞,宋司城子潞，樂溷之子,3,3
欒枝,晉,僖公二十七年傳，僖公二十八年傳，僖公三十三年傳，文公五年傳，昭公十三年傳,欒枝，欒貞子，欒,,5,3
滕成公,滕,襄公六年經，襄公六年傳，襄公二十七年傳，襄公三十一年經，襄公三十一年傳，昭公三年經,滕子，滕成公，滕君,,7,3
狐鞫居,晉,文公二年傳，文公六年傳,狐鞫居，續簡伯，續鞫居,續簡伯,4,3
王子帶,周,僖公十一年傳，僖公十二年傳，僖公十三年傳，僖公二十二年傳，僖公二十四年傳，僖公二十五年傳,王子帶，大叔，甘昭公,甘昭公,8,3
王子朝,周,昭公二十二年傳，昭公二十三年經，昭公二十三年傳，昭公二十四年傳，昭公二十六年經，昭公二十六年傳，定公五年傳，定公六年傳,王子朝，子朝，西王,周景王之長庶子,9,3
甯喜,衛,襄公二十年傳，襄公二十五年傳，襄公二十六年經，襄公二十六年傳，襄公二十七年經,悼子，甯喜，甯子,甯氏出自衛武公，及喜九世,7,3
甯殖,衛,成公十四年傳，襄公元年經，襄公二年經，襄公八年傳，襄公十四年傳，襄公十六年經，襄公二十年傳,甯惠子，甯子，甯殖,,9,3
申叔豫,楚,襄公二十一年傳，襄公二十二年傳,申叔豫，叔豫，申叔,申叔時孫,4,3
白公勝,楚,哀公十六年傳，哀公十七年傳,勝，白公，王孫,大子勝之子,4,3
百里孟明視,秦,僖公三十二年傳，僖公三十三年傳，文公元年傳，文公二年傳，文公三年傳,孟明，孟子，孟明視,,6,3
皇頡,鄭,襄公二十六年傳,皇頡，囚，頡,鄭大夫,3,3
石稷,衛,成公二年傳,石稷，石子，石成子,石碏四世孫,3,3
祭足,鄭,隱公三年傳，隱公五年傳，桓公五年傳，桓公十一年經,祭足，祭仲足，祭仲,祭仲字足,5,3
秦哀公,秦,定公四年傳，定公九年經,秦伯，寡人，秦哀公,,4,3
秦穆夫人,晉,莊公二十八年傳，僖公五年傳，僖公十五年傳,秦穆夫人，秦穆姬，伯姬,,4,3
穆姜,齊,成公九年傳，成公十一年傳，成公十六年傳，襄公二年傳，襄公九年經,穆姜，姜，夫人姜氏,魯宣公夫人；魯宣公夫人，成公母；魯宣公夫人、成公母；成公母,7,3
管仲,齊,莊公八年傳，莊公九年傳，莊公三十二年傳，閔公元年傳，僖公四年傳，僖公七年傳，僖公十二年傳，僖公十七年傳，僖公二十四年傳，僖公三十三年傳,管夷吾，管仲，管敬仲,,12,3
羊舌虎,晉,襄公二十一年傳,羊舌虎，虎，叔虎,叔向弟,3,3
聲姜,齊,僖公十七年經，僖公十七年傳，文公十六年經，文公十六年傳，文公十七年經,姜氏，聲姜，夫人姜氏,僖公夫人；魯僖公夫人,5,3
聲孟子,宋,成公十六年傳，成公十七年傳,聲孟子，夫人，孟子,齊靈公母，宋女,4,3
胥臣臼季,晉,僖公二十三年傳，僖公二十八年傳，僖公三十三年傳，文公元年傳，文公五年傳,司空季子，胥臣，臼季,司空季子,6,3
臧文仲,魯,莊公十一年傳，莊公二十八年經，僖公二十年傳，僖公二十一年傳，僖公二十二年傳，僖公二十四年傳，僖公二十六年傳，僖公三十一年傳，僖公三十三年傳，文公二年傳，文公五年傳，文公六年傳，文公十年經，文公十七年傳，文公十八年傳，襄公二十四年傳，哀公二十四年傳,臧文仲，臧孫辰，臧孫,魯大夫,18,3
良霄,鄭,襄公十一年經，襄公十三年傳，襄公十五年傳，襄公十八年傳，襄公二十六年經，襄公二十七年經，襄公二十七年傳，襄公二十八年傳，襄公二十九年傳，襄公三十年經，襄公三十年傳，昭公二年傳，昭公七年傳,良霄，伯有，良,鄭行人；見襄二十六年注；鄭穆公之胄，子良之孫，子耳之子,15,3
茅成子,邾,哀公七年傳,茅成子，成子，茅夷鴻,邾大夫茅夷鴻,3,3
荀庚,晉,成公二年傳，成公三年經，成公三年傳，成公十三年傳,庚，荀庚，仲行伯,荀林父之子,4,3
荼,齊,哀公五年傳，哀公六年經，哀公六年傳，哀公八年傳,荼，孺子，安孺子,齊景公子,5,3
莒共公,莒,昭公十四年傳，昭公十九年傳,庚輿，莒子，莒共公,著丘公之弟,3,3
華定,宋,襄公二十九年經，襄公二十九年傳，昭公十年傳，昭公十二年經，昭公二十年經，昭公二十一年經，昭公二十二年經,華定，宋司徒，司徒,,8,3
華登,宋,昭公二十年傳，昭公二十一年傳，昭公二十二年傳,華登，良子，登,華費遂子,5,3
華耦,宋,文公九年傳，文公十五年經，文公十五年傳，文公十六年傳，文公十八年傳,華耦，司馬華孫，司馬子伯,華父督曾孫；司馬；華督曾孫,5,3
華臣,宋,襄公九年傳，襄公十七年經，襄公十七年傳，昭公六年傳,華臣，臣，亡人,華元子,4,3
華貙,宋,昭公二十一年傳，昭公二十二年傳,華貙，貙，子皮,華費遂子,4,3
蔡哀侯,蔡,桓公十七年經，莊公十年經，莊公十年傳，莊公十四年傳,蔡季，蔡侯獻舞，蔡哀侯,蔡桓侯弟,4,3
蔡墨,晉,昭公二十九年傳，昭公三十一年傳，昭公三十二年傳，哀公九年傳,蔡墨，蔡史墨，史墨,晉大史,5,3
蠻子嘉,戎,昭公十六年經，昭公十六年傳,戎蠻子，蠻子，蠻子嘉,,3,3
衛宣公,衛,隱公四年傳，隱公八年經，桓公十三年經，桓公十六年傳,宣公，衛侯，衛宣公,,4,3
褚師比,衛,哀公十五年傳，哀公十六年傳，哀公二十五年傳,褚師比，褚師聲子，褚師,褚師聲子,5,3
西乞術,秦,僖公三十二年傳，文公十二年經，文公十二年傳,西乞，術，西乞術,,3,3
觀從,楚,昭公十三年傳,從，觀從，子玉,觀起子,3,3
許僖公,許,僖公六年傳，僖公十年經，文公五年經，文公六年經，昭公四年傳,許僖公，許男，許男業,成王時許僖公,6,3
許穆公,許,僖公四年經,許男，許男新臣，許穆公,,3,3
許靈公,許,成公二年傳，成公四年傳，成公五年傳，成公十五年傳，襄公三年傳，襄公二十六年經,許靈公，許男，許男甯,,7,3
趙嬰,晉,僖公二十四年傳，成公四年傳，成公五年傳，成公八年傳,樓嬰，趙嬰，嬰,趙盾弟,4,3
邾悼公,邾,襄公十九年經，襄公十九年傳，襄公二十七年傳，襄公二十八年經，襄公二十八年傳，昭公元年經,邾子，邾悼公，邾子華,,7,3
邾隱公,邾,定公十五年經，定公十五年傳，哀公七年經，哀公八年經，哀公八年傳，哀公十年經，哀公十年傳，哀公二十一年傳，哀公二十二年傳,邾子，邾隱公，邾子益,邾子益,10,3
郈昭伯,魯,昭公二十五年傳,郈，郈昭伯，郈孫,,3,3
郤宛,楚,昭公二十七年經，昭公二十七年傳，定公四年傳,郤宛，子惡，左尹,,4,3
郤錡,晉,成公十三年經，成公十六年傳，成公十七年經，成公十七年傳，襄公二十六年傳,郤錡，駒伯，二郤,郤克子,5,3
郵無恤,晉,哀公二年傳,郵無恤，子良，郵良,王良,3,3
鄭僖公,鄭,襄公七年經，襄公七年傳，襄公八年經，襄公八年傳,鄭伯髡頑，鄭僖公，僖公,,4,3
鄭悼公,鄭,成公四年NA，成公五年經，成公六年經，成公六年傳,鄭伯，鄭伯費，鄭悼公,,5,3
鄭武公,鄭,隱公元年傳，隱公三年傳，莊公二十一年傳，宣公十二年傳，襄公二十五年傳,鄭武公，武公，武,,5,3
鍼,秦,襄公二十六年傳，昭公元年經，昭公元年傳，昭公五年傳,鍼，后子，秦公子,秦伯之弟鍼；秦伯之弟；秦桓公子,5,3
陳佗,陳,桓公五年傳，桓公六年經，襄公二十五年傳,文公子佗，陳佗，五父,陳桓公弟五父,3,3
陳侯,陳,桓公二年經，桓公十一年經，桓公十五年經，莊公四年經，莊公十五年經，莊公十六年經，莊公二十二年傳，莊公二十五年經，莊公二十七年經，僖公四年經，僖公五年經，僖公六年經，僖公十三年經，僖公十五年經，僖公十六年經，僖公二十七年經，僖公二十八年經，文公十年傳，文公十四年經，文公十五年傳，文公十七年傳，襄公五年經，襄公七年經，襄公二十年經，襄公二十三年經，襄公二十四年經，襄公二十五年傳，襄公二十六年經，襄公二十八年傳，襄公二十九年傳，昭公四年經，昭公五年經，哀公十五年傳,陳侯，公，寡君,,35,3
陳厲公,陳,桓公十二年經，莊公二十二年傳，襄公二十五年傳,陳侯躍，陳厲公，厲公,,3,3
陳宣公,陳,僖公十二年經，僖公十三年經，襄公二十五年傳,陳侯杵臼，陳宣公，宣,,3,3
陳瓘,齊,哀公十一年傳，哀公十五年傳，哀公十七年傳,陳瓘，子玉，瓘,陳恆之兄子玉,6,3
陳莊公,陳,莊公元年經，莊公二年經，襄公二十五年傳,陳侯林，陳莊公，莊,,3,3
陽虎,魯,昭公二十七年傳，定公五年傳，定公六年傳，定公七年傳，定公八年經，定公八年傳，定公九年傳，哀公二年傳，哀公九年傳,陽虎，虎，盜,季氏家臣,11,3
鞏朔,晉,文公十七年傳，宣公十二年傳，成公二年傳，成公三年傳,鞏朔，鞏伯，士莊伯,,6,3
韓不信,晉,昭公三十二年經，昭公三十二年傳，定公元年傳，定公十三年傳,韓不信，伯音，韓簡子,韓起孫,6,3
顓頊,古人,昭公元年傳，昭公八年傳，昭公十七年傳，昭公二十九年傳,帝，顓頊，顓頊氏,,4,3
高固,齊,宣公五年經，宣公十四年傳，宣公十五年經，宣公十七年傳，成公二年傳,高固，高宣子，高子,,6,3
高止,齊,襄公二十九年經，襄公二十九年傳,高止，高子容，子容,,3,3
高無咎,齊,成公十五年經，成公十六年傳，成公十七年經，成公十七年傳,高無咎，高，無咎,,5,3
鬥辛,楚,昭公十四年傳，定公四年傳，定公五年傳,鬥辛，鄖公辛，辛,子旗之子鄖公辛；蔓成然之子鬥辛,5,3
魯哀公,魯,哀公十三年傳，哀公十四年傳，哀公十五年傳，哀公十六年傳，哀公十七年傳，哀公二十四年傳,寡君，公，余一人,,7,3
魯成公,魯,成公十八年經，昭公七年傳，昭公二十五年傳,成公，先君成公，成,,3,3
魯文公,魯,文公十八年經，昭公二十五年傳，昭公三十二年傳,文公，文，魯文公,,3,3
魯莊公,魯,桓公六年經，莊公八年傳，閔公元年經，閔公二年經,子同，魯莊公，莊公,,4,3
鮑牽,齊,成公十七年傳,鮑牽，鮑，鮑莊子,鮑叔牙曾孫,3,3
齊侯,齊,隱公七年經，隱公八年經，隱公九年經，隱公十年經，隱公十一年經，桓公二年經，桓公三年經，桓公五年經，桓公六年傳，桓公十年經，桓公十三年經，桓公十五年經，桓公十七年經，桓公十八年經，莊公二年經，莊公四年經，僖公二十八年經，僖公三十三年經，文公七年傳，宣公十年經，成公七年經，成公十三年經，成公十六年經，成公十八年傳，襄公六年傳，襄公二十六年傳，襄公二十八年傳，定公七年經，定公九年經，定公十年經，定公十二年傳，定公十三年經，定公十四年經，定公十五年經，哀公元年經，哀公十五年傳，哀公二十一年傳，哀公二十七年傳,齊侯，公，寡君,,40,3
齊僖公,齊,桓公十四年經，桓公十五年經，昭公十三年傳,齊侯祿父，齊僖公，僖,史記作釐,3,3
齊簡公,齊,哀公六年傳，哀公十四年經，哀公十四年傳,壬，齊簡公，公,陽生子簡公；悼公陽生子壬,4,3
世子有,蔡,昭公十一年經，昭公十一年傳，昭公十三年傳，昭公二十一年傳,世子有，隱大子,,4,2
世子止,許,昭公十九年經，昭公十九年傳,世子止，大子止,,2,2
丘弱,邾,昭公二十三年傳,丘弱，弱,邾大夫,2,2
仲壬,魯,昭公四年傳，昭公五年傳,仲壬，仲,叔孫豹子,3,2
仲子,魯,隱公元年經，隱公元年傳，隱公二年經,仲子，子氏,,3,2
仲孫湫,齊,閔公元年經，閔公元年傳，僖公十三年傳,仲孫，仲孫湫,齊大夫,3,2
伍參,楚,宣公十二年傳，襄公二十六年傳,伍參，參,嬖人,3,2
伍奢,楚,昭公十九年傳，昭公二十年傳,伍奢，奢,伍舉之子,3,2
伍尚,楚,昭公二十年傳,棠君尚，伍尚,,2,2
伍舉,楚,襄公二十六年傳，昭公元年傳，昭公九年傳,伍舉，椒舉,伍參子，伍子胥祖父椒舉,4,2
伯姬,晉,宣公十五年傳,潞子嬰兒之夫人，伯姬,晉景公之姊；晉景公之姊，潞子之夫人,2,2
伯蚠,晉,昭公二十六年傳,劉狄，劉,,2,2
侯犯,魯,定公十年傳,侯犯，犯,郈馬正,2,2
僕析父,楚,昭公十二年傳,僕析父，析父,楚大夫,2,2
儋括,周,襄公三十年傳,括，儋括,王儋季之子,2,2
先且居,晉,僖公三十三年傳，文公元年傳，文公二年傳，文公五年傳,先且居，霍伯,先軫之子,4,2
先蔑,晉,僖公二十八年傳，文公六年傳，文公七年經，文公七年傳,先蔑，士伯,士伯,4,2
先軫,晉,成公十六年傳，昭公十三年傳,先軫，先,,2,2
克黃,楚,宣公四年傳,箴尹克黃，生,子揚之子,2,2
